15731080	20544909	136721026	147944788	153380495	156513983	198304612	201354591	202810917	219972873	
417177801	418932835	471852626	483031418	537655879	540721923	545404204	568478650	581869302	600279047	
609397212	628409599	640439652	667772468	668901196	676943009	702680360	735241234	746745227	767661659	
778933286	802611720	809094426	836782561	884961191	899215094	902841100	910208076	949333985	969970961	
1033572045	1044246012	1093870952	1106985410	1132797678	1140385938	1189375152	1196140740	1255020905	1262612888	
1267873934	1275731771	1276807513	1279593658	1280354905	1289694812	1296707006	1320835696	1323567403	1351727964	
1359573808	1361931891	1382563994	1389240777	1438850937	1499498949	1551745920	1599569602	1625347245	1638781099	
1684602222	1712568902	1742863086	1755486969	1775435781	1785570478	1807643463	1811450929	1812852786	1863986797	
1884392678	1913778154	1933688961	1963517098	1964976871	1967048444	1973504939	1996681049	2008734458	2013771743	
2021180595	2039073006	2066350391	2084672536	2094092595	2103522059	2107063880	2116909072	2122008025	2132285156	
